Provider,accuracy,configAccuracy,deviceid,latitude,local_time,longitude,senseStartTimeMillis,sensorType,speed,userid
GPS,8535,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8149859928,00:00:17:992 05 10 2015 -0400 EDT,-72.2711636765,1444017618000,Location,-1,000000
GPS,5000,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8165319206,00:00:18:031 05 10 2015 -0400 EDT,-72.2717546243,1444017618000,Location,-1,000000
GPS,65,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8089349647,00:02:42:265 05 10 2015 -0400 EDT,-72.2688513592,1444017762000,Location,-1,000000
GPS,6500,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8079318150,00:03:37:589 05 10 2015 -0400 EDT,-72.2649045376,1444017818000,Location,-1,000000
GPS,6500,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8073273629,00:03:37:628 05 10 2015 -0400 EDT,-72.2625273454,1444017818000,Location,-1,000000
GPS,6500,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8069632694,00:03:37:662 05 10 2015 -0400 EDT,-72.2610954367,1444017818000,Location,-1,000000
GPS,6500,kCLLocationAccuracyNearestTenMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8069632694,00:05:20:868 05 10 2015 -0400 EDT,-72.2610954367,1444018092000,Location,-1,000000
GPS,20,kCLLocationAccuracyNearestTenMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8089347841,00:07:51:651 05 10 2015 -0400 EDT,-72.2688507075,1444018092000,Location,-1,000000
GPS,6500,kCLLocationAccuracyNearestTenMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8069632694,00:05:20:868 05 10 2015 -0400 EDT,-72.2610954367,1444018092000,Location,-1,000000
GPS,5000,kCLLocationAccuracyNearestTenMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8144408240,00:08:00:779 05 10 2015 -0400 EDT,-72.2689786138,1444018092000,Location,-1,000000
