deviceid,senseStartTimeMillis,userid,longitude,sensorType,local_time,Provider,latitude,accuracy,speed,configAccuracy,class
14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,1444017618000,000000,-72.2711636765,Location,00:00:17:992 05 10 2015 -0400 EDT,GPS,41.8149859928,8535,-1,kCLLocationAccuracyHundredMeters,1
14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,1444017618000,000000,-72.2717546243,Location,00:00:18:031 05 10 2015 -0400 EDT,GPS,41.8165319206,5000,-1,kCLLocationAccuracyHundredMeters,2
14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,1444017762000,000000,-72.2688513592,Location,00:02:42:265 05 10 2015 -0400 EDT,GPS,41.8089349647,65,-1,kCLLocationAccuracyHundredMeters,2
14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,1444017818000,000000,-72.2649045376,Location,00:03:37:589 05 10 2015 -0400 EDT,GPS,41.8079318150,6500,-1,kCLLocationAccuracyHundredMeters,3
14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,1444017818000,000000,-72.2625273454,Location,00:03:37:628 05 10 2015 -0400 EDT,GPS,41.8073273629,6500,-1,kCLLocationAccuracyHundredMeters,3
14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,1444017818000,000000,-72.2610954367,Location,00:03:37:662 05 10 2015 -0400 EDT,GPS,41.8069632694,6500,-1,kCLLocationAccuracyHundredMeters,4
14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,1444018092000,000000,-72.2610954367,Location,00:05:20:868 05 10 2015 -0400 EDT,GPS,41.8069632694,6500,-1,kCLLocationAccuracyNearestTenMeters,4
14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,1444018092000,000000,-72.2688507075,Location,00:07:51:651 05 10 2015 -0400 EDT,GPS,41.8089347841,20,-1,kCLLocationAccuracyNearestTenMeters,0
14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,1444018092000,000000,-72.2610954367,Location,00:05:20:868 05 10 2015 -0400 EDT,GPS,41.8069632694,6500,-1,kCLLocationAccuracyNearestTenMeters,3
14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,1444018092000,000000,-72.2689786138,Location,00:08:00:779 05 10 2015 -0400 EDT,GPS,41.8144408240,5000,-1,kCLLocationAccuracyNearestTenMeters,0
14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,1444018092000,000000,-72.2704680056,Location,00:08:00:812 05 10 2015 -0400 EDT,GPS,41.8157516010,5000,-1,kCLLocationAccuracyNearestTenMeters,0
14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,1444018092000,000000,-72.2712127016,Location,00:08:00:841 05 10 2015 -0400 EDT,GPS,41.8164069895,5000,-1,kCLLocationAccuracyNearestTenMeters,4
14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,1444018092000,000000,-72.2689207476,Location,00:08:00:941 05 10 2015 -0400 EDT,GPS,41.8089493658,165,-1,kCLLocationAccuracyNearestTenMeters,0
