Provider,accuracy,configAccuracy,deviceid,latitude,local_time,longitude,senseStartTimeMillis,sensorType,speed,userid
Network,1000,kCLLocationAccuracyBest,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8089392716,23:59:33:279 01 10 2015 -0400 EDT,-72.2689489645,1443762718000,Location,-1,000000
GPS,100,kCLLocationAccuracyNearestTenMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8088353705,01:13:01:797 02 10 2015 -0400 EDT,-72.2688938678,1443762782000,Location,0,000000
GPS,50,kCLLocationAccuracyNearestTenMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8088353705,01:14:19:162 02 10 2015 -0400 EDT,-72.2688938678,1443762859000,Location,0,000000
GPS,10,kCLLocationAccuracyNearestTenMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8088962650,01:48:48:001 02 10 2015 -0400 EDT,-72.2690506932,1443764939000,Location,0,000000
GPS,10,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8088672217,02:03:57:791 02 10 2015 -0400 EDT,-72.2690967937,1443765849000,Location,0,000000
GPS,571,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8091239527,02:04:47:943 02 10 2015 -0400 EDT,-72.2684276211,1443765888000,Location,-1,000000
GPS,585,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8095942954,02:04:54:798 02 10 2015 -0400 EDT,-72.2683552404,1443765895000,Location,-1,000000
GPS,756,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8101160754,02:05:13:060 02 10 2015 -0400 EDT,-72.2682448962,1443765913000,Location,-1,000000
GPS,927,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8107755584,02:05:27:935 02 10 2015 -0400 EDT,-72.2684704570,1443765928000,Location,-1,000000
GPS,936,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8112713080,02:05:32:276 02 10 2015 -0400 EDT,-72.2684616414,1443765932000,Location,-1,000000
GPS,1139,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8111335897,02:05:52:165 02 10 2015 -0400 EDT,-72.2678561674,1443765952000,Location,-1,000000
