deviceid,senseStartTimeMillis,userid,longitude,sensorType,local_time,Provider,latitude,accuracy,speed,configAccuracy,class
14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,1443762718000,000000,-72.2689489645,Location,23:59:33:279 01 10 2015 -0400 EDT,Network,41.8089392716,1000,-1,kCLLocationAccuracyBest,0
14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,1443762782000,000000,-72.2688938678,Location,01:13:01:797 02 10 2015 -0400 EDT,GPS,41.8088353705,100,0,kCLLocationAccuracyNearestTenMeters,1
14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,1443762859000,000000,-72.2688938678,Location,01:14:19:162 02 10 2015 -0400 EDT,GPS,41.8088353705,50,0,kCLLocationAccuracyNearestTenMeters,3
14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,1443764939000,000000,-72.2690506932,Location,01:48:48:001 02 10 2015 -0400 EDT,GPS,41.8088962650,10,0,kCLLocationAccuracyNearestTenMeters,4
14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,1443765849000,000000,-72.2690967937,Location,02:03:57:791 02 10 2015 -0400 EDT,GPS,41.8088672217,10,0,kCLLocationAccuracyHundredMeters,4
14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,1443765888000,000000,-72.2684276211,Location,02:04:47:943 02 10 2015 -0400 EDT,GPS,41.8091239527,571,-1,kCLLocationAccuracyHundredMeters,1
14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,1443765895000,000000,-72.2683552404,Location,02:04:54:798 02 10 2015 -0400 EDT,GPS,41.8095942954,585,-1,kCLLocationAccuracyHundredMeters,0
14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,1443765913000,000000,-72.2682448962,Location,02:05:13:060 02 10 2015 -0400 EDT,GPS,41.8101160754,756,-1,kCLLocationAccuracyHundredMeters,1
14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,1443765928000,000000,-72.2684704570,Location,02:05:27:935 02 10 2015 -0400 EDT,GPS,41.8107755584,927,-1,kCLLocationAccuracyHundredMeters,1
14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,1443765932000,000000,-72.2684616414,Location,02:05:32:276 02 10 2015 -0400 EDT,GPS,41.8112713080,936,-1,kCLLocationAccuracyHundredMeters,1
14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,1443765952000,000000,-72.2678561674,Location,02:05:52:165 02 10 2015 -0400 EDT,GPS,41.8111335897,1139,-1,kCLLocationAccuracyHundredMeters,4
14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,1443765953000,000000,-72.2682455843,Location,02:05:53:459 02 10 2015 -0400 EDT,GPS,41.8117115185,1140,-1,kCLLocationAccuracyHundredMeters,3
14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,1443765965000,000000,-72.2676200794,Location,02:06:05:319 02 10 2015 -0400 EDT,GPS,41.8115895988,1192,-1,kCLLocationAccuracyHundredMeters,4
